time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180822:0710,37143.6,267.7,134.09,8.27,27.81,25.58,1.45,0.0
20180822:0810,57465.6,461.25,160.36,11.75,38.18,28.17,1.52,0.0
20180822:0910,72514.8,618.66,183.26,14.51,47.5,30.14,1.86,0.0
20180822:1010,82514.4,742.23,189.43,16.46,54.67,31.28,2.0,0.0
20180822:1110,84375.6,762.67,211.25,17.07,58.05,31.95,1.38,0.0
20180822:1210,66658.8,394.77,361.04,14.0,56.41,32.29,0.97,0.0
20180822:1310,4357.2,0.0,61.95,1.4,50.39,32.48,1.17,0.0
20180822:1410,3874.8,0.0,56.56,1.28,41.68,32.61,1.79,0.0
20180822:1510,3171.6,0.0,48.48,1.1,31.6,32.15,2.07,0.0
20180822:1610,4648.8,0.0,64.64,1.46,20.91,30.78,2.55,0.0
20180822:1710,3578.4,1.84,51.8,1.26,10.09,30.0,2.21,0.0
20180822:1810,0.0,0.0,0.0,0.0,0.0,28.97,2.07,0.0
20180822:1910,0.0,0.0,0.0,0.0,0.0,27.67,1.79,0.0
20180822:2010,0.0,0.0,0.0,0.0,0.0,26.32,1.59,0.0
20180822:2110,0.0,0.0,0.0,0.0,0.0,25.56,1.17,0.0
20180822:2210,0.0,0.0,0.0,0.0,0.0,25.84,0.9,0.0
20180822:2310,0.0,0.0,0.0,0.0,0.0,25.84,0.76,0.0
20180823:0010,0.0,0.0,0.0,0.0,0.0,24.59,0.97,0.0
20180823:0110,0.0,0.0,0.0,0.0,0.0,23.39,1.1,0.0
20180823:0210,0.0,0.0,0.0,0.0,0.0,22.79,1.17,0.0
20180823:0310,0.0,0.0,0.0,0.0,0.0,22.05,1.24,0.0
20180823:0410,0.0,0.0,0.0,0.0,0.0,21.61,1.31,0.0
20180823:0510,1813.2,0.0,31.08,0.75,6.06,21.23,1.31,0.0
20180823:0610,14320.8,91.1,88.27,4.43,16.84,22.89,0.83,0.0
20180823:0710,35916.0,253.0,138.95,8.03,27.62,25.98,0.62,0.0
20180823:0810,55902.0,445.5,166.55,11.52,37.97,27.59,0.41,0.0
20180823:0910,70934.4,622.87,177.34,14.41,47.26,28.96,0.41,0.0
20180823:1010,78973.2,679.13,219.58,15.89,54.38,29.79,0.97,0.0
20180823:1110,82881.6,724.73,226.89,16.66,57.72,30.4,1.1,0.0
20180823:1210,84337.2,776.44,185.83,16.77,56.07,30.74,1.52,0.0
20180823:1310,63771.6,380.61,318.15,12.92,50.07,30.62,2.21,0.0
20180823:1410,47258.4,213.2,293.43,9.9,41.39,29.87,3.03,0.0
20180823:1510,32360.4,124.4,225.05,7.15,31.32,29.56,3.38,0.0
20180823:1610,23163.6,158.55,110.6,5.79,20.63,29.1,1.79,0.0
20180823:1710,4417.2,26.9,49.58,2.4,9.81,28.5,0.34,0.0
20180823:1810,0.0,0.0,0.0,0.0,0.0,27.69,0.34,0.0
20180823:1910,0.0,0.0,0.0,0.0,0.0,26.6,1.1,0.0
20180823:2010,0.0,0.0,0.0,0.0,0.0,25.23,1.66,0.0
20180823:2110,0.0,0.0,0.0,0.0,0.0,24.3,1.93,0.0
20180823:2210,0.0,0.0,0.0,0.0,0.0,23.69,1.86,0.0
20180823:2310,0.0,0.0,0.0,0.0,0.0,23.43,1.59,0.0
20180824:0010,0.0,0.0,0.0,0.0,0.0,23.5,1.17,0.0
20180824:0110,0.0,0.0,0.0,0.0,0.0,23.84,0.9,0.0
20180824:0210,0.0,0.0,0.0,0.0,0.0,23.72,0.76,0.0
20180824:0310,0.0,0.0,0.0,0.0,0.0,23.63,0.55,0.0
20180824:0410,0.0,0.0,0.0,0.0,0.0,23.45,0.48,0.0
20180824:0510,1723.2,0.0,30.24,0.73,5.88,23.08,0.48,0.0
20180824:0610,14172.0,86.19,91.32,4.33,16.66,23.42,0.28,0.0
20180824:0710,35959.2,248.07,141.18,7.93,27.44,24.89,0.9,0.0
20180824:0810,49652.4,304.65,232.25,10.3,37.77,26.19,0.41,0.0
20180824:0910,71304.0,623.72,177.85,14.37,47.02,27.29,0.21,0.0
20180824:1010,81433.2,734.84,190.14,16.22,54.09,28.46,0.9,0.0
20180824:1110,85802.4,783.37,195.06,16.99,57.38,29.26,1.31,0.0
20180824:1210,85831.2,786.89,182.15,16.81,55.72,29.76,1.86,0.0
20180824:1310,78050.4,665.34,191.24,15.06,49.74,29.9,2.83,0.0
20180824:1410,65829.6,546.07,162.76,12.76,41.08,29.44,3.03,0.0
20180824:1510,46294.8,351.88,144.02,9.43,31.03,28.75,3.03,0.0
