2025-08-18 17:57:30.300 [main] INFO  it.evsmartcharging.CoapObserver - Start observation for /res_real_power_obs
2025-08-18 17:57:37.364 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:05:40.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.5925, WS=1.9351, P_predicted=0.0
2025-08-18 17:57:39.325 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:05:50.0, P_real=0.0
2025-08-18 17:57:40.716 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:05:55.0, P_real=0.0
2025-08-18 17:57:43.210 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:00.0, P_real=0.0
2025-08-18 17:57:43.315 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:06:00.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.59, WS=1.9347, P_predicted=0.0
2025-08-18 17:57:45.756 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:05.0, P_real=0.0
2025-08-18 17:57:48.267 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:10.0, P_real=0.0
2025-08-18 17:57:50.752 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:15.0, P_real=0.0
2025-08-18 17:57:53.234 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:20.0, P_real=0.0
2025-08-18 17:57:53.326 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:06:20.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.5875, WS=1.9343, P_predicted=0.0
2025-08-18 17:57:55.726 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:25.0, P_real=0.0
2025-08-18 17:57:58.231 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:30.0, P_real=0.0
2025-08-18 17:58:00.741 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:35.0, P_real=0.0
2025-08-18 17:58:03.242 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:40.0, P_real=0.0
2025-08-18 17:58:03.322 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:06:40.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.585, WS=1.9339, P_predicted=0.0
2025-08-18 17:58:05.755 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:45.0, P_real=0.0
2025-08-18 17:58:08.245 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:50.0, P_real=0.0
2025-08-18 17:58:10.753 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:06:55.0, P_real=0.0
2025-08-18 17:58:13.269 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:07:00.0, P_real=0.0
2025-08-18 17:58:13.352 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:07:00.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.5825, WS=1.9335, P_predicted=0.0
2025-08-18 17:58:15.761 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:07:05.0, P_real=0.0
2025-08-18 17:58:18.266 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:07:10.0, P_real=0.0
2025-08-18 17:58:20.767 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:07:15.0, P_real=0.0
2025-08-18 17:58:23.270 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:07:20.0, P_real=0.0
2025-08-18 17:58:23.332 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:07:20.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.58, WS=1.9331, P_predicted=0.0
2025-08-18 17:58:25.792 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:07:25.0, P_real=0.0
2025-08-18 17:58:28.283 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:07:30.0, P_real=0.0
2025-08-18 17:58:30.857 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:07:35.0, P_real=0.0
2025-08-18 17:58:33.419 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:07:40.0, P_real=0.0
2025-08-18 17:58:33.539 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:07:40.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.5775, WS=1.9327, P_predicted=0.0
2025-08-18 17:58:35.805 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:07:45.0, P_real=0.0
2025-08-18 17:58:38.359 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:07:50.0, P_real=0.0
2025-08-18 17:58:40.816 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:07:55.0, P_real=0.0
2025-08-18 17:58:43.379 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:08:00.0, P_real=0.0
2025-08-18 17:58:43.430 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:08:00.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.575, WS=1.9323, P_predicted=0.0
2025-08-18 17:58:45.826 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:08:05.0, P_real=0.0
2025-08-18 17:58:48.321 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:08:10.0, P_real=0.0
2025-08-18 17:58:50.817 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:08:15.0, P_real=0.0
2025-08-18 17:58:53.339 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:08:20.0, P_real=0.0
